Current generation: 0 Number of solutions: 1000 Number of species: 1 Number of active species: 1 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.282045 Best fitness: 0.477143 Innovation number: 0 Average genome size: 2.000000 Average connection genes: 0.000000 Average field genes: 2.000000 Best solution: [solution 249 [ fit.: 0.477143, part.: (0.916099, 0.475206, 0.998142, 0.000000, 0.474829, ), spec.: 0, adj.fit.: 0.000477, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, last mutations{}]]
Current generation: 1 Number of solutions: 1000 Number of species: 3 Number of active species: 3 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.357737 Best fitness: 0.732902 Innovation number: 0 Average genome size: 2.145000 Average connection genes: 0.145000 Average field genes: 2.000000 Best solution: [solution 1864 [ fit.: 0.732902, part.: (0.959357, 0.927597, 0.997280, 0.200000, 0.969433, ), spec.: 0, adj.fit.: 0.000735, age: 0, parents (216, 63), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (mhk to gk)] [fg 2 (gk to mhk)] (added cg 1-2 innov.0) (mutated)}]]
Current generation: 38 Number of solutions: 1000 Number of species: 92 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.598864 Best fitness: 0.746183 Innovation number: 37 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 28156 [ fit.: 0.746183, part.: (0.999923, 0.965711, 0.997985, 0.200000, 0.966774, ), spec.: 86, adj.fit.: 0.026649, age: 10, parents (27661, 27671), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 39 Number of solutions: 1000 Number of species: 93 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.616934 Best fitness: 0.746073 Innovation number: 37 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 39535 [ fit.: 0.746073, part.: (0.999258, 0.966506, 0.997009, 0.200000, 0.966659, ), spec.: 0, adj.fit.: 0.001160, age: 0, parents (38288, 38609), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 2 (fg mhk amp. exc. 0.500000)(fg mhk width exc. 0.500000)(fg mhk amp. inh. 0.500000)(fg mhk width inh. 0.500000)(fg mhk amp. glob. 0.050000)]  (mutated)}]]
Current generation: 40 Number of solutions: 500 Number of species: 93 Number of active species: 7 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.660678 Best fitness: 0.746172 Innovation number: 39 Average genome size: 3.006000 Average connection genes: 1.004000 Average field genes: 2.002000 Best solution: [solution 40177 [ fit.: 0.746172, part.: (0.999327, 0.933346, 0.997529, 0.200000, 0.999870, ), spec.: 20, adj.fit.: 0.003376, age: 0, parents (38300, 39465), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 2 (fg mhk amp. exc. -0.500000)(fg mhk amp. inh. -0.500000)(fg mhk width inh. -0.500000)]  (mutated)}]]
Current generation: 41 Number of solutions: 1000 Number of species: 95 Number of active species: 5 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.612533 Best fitness: 0.746264 Innovation number: 41 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 40904 [ fit.: 0.746264, part.: (0.999860, 0.933312, 0.997757, 0.200000, 0.999795, ), spec.: 0, adj.fit.: 0.001352, age: 0, parents (40339, 40244), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 ] [fg 2 (fg mhk amp. exc. 0.500000)(fg mhk width exc. 0.500000)(fg mhk amp. inh. 0.500000)(fg mhk width inh. 0.500000)] [cg 1-2 (cg gk width -0.500000)(cg gk amp.-0.500000)]  (mutated)}]]
Current generation: 42 Number of solutions: 1000 Number of species: 97 Number of active species: 7 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.611350 Best fitness: 0.746298 Innovation number: 41 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 40904 [ fit.: 0.746298, part.: (0.999924, 0.933314, 0.997915, 0.200000, 0.999796, ), spec.: 0, adj.fit.: 0.001164, age: 1, parents (40339, 40244), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 43 Number of solutions: 1000 Number of species: 98 Number of active species: 8 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.623898 Best fitness: 0.746359 Innovation number: 41 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 40904 [ fit.: 0.746359, part.: (0.999919, 0.933312, 0.998349, 0.200000, 0.999784, ), spec.: 0, adj.fit.: 0.001248, age: 2, parents (40339, 40244), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 44 Number of solutions: 1000 Number of species: 101 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.631881 Best fitness: 0.746306 Innovation number: 41 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 40904 [ fit.: 0.746306, part.: (0.999829, 0.933313, 0.998078, 0.200000, 0.999789, ), spec.: 0, adj.fit.: 0.001148, age: 3, parents (40339, 40244), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 45 Number of solutions: 1000 Number of species: 102 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.617746 Best fitness: 0.746273 Innovation number: 41 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 40904 [ fit.: 0.746273, part.: (0.999874, 0.933312, 0.997811, 0.200000, 0.999790, ), spec.: 0, adj.fit.: 0.001202, age: 4, parents (40339, 40244), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 46 Number of solutions: 1000 Number of species: 103 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.631805 Best fitness: 0.746267 Innovation number: 41 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 46355 [ fit.: 0.746267, part.: (0.999901, 0.933280, 0.998155, 0.200000, 0.999511, ), spec.: 0, adj.fit.: 0.001225, age: 0, parents (44755, 44754), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (fg gk width 0.500000)(fg gk amp.0.500000)] [fg 2 (fg mhk amp. exc. -0.500000)(fg mhk width exc. -0.500000)(fg mhk amp. inh. -0.500000)] [cg 1-2 ]  (mutated)}]]
Current generation: 47 Number of solutions: 1000 Number of species: 105 Number of active species: 13 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.615532 Best fitness: 0.746358 Innovation number: 43 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 46531 [ fit.: 0.746358, part.: (0.999969, 0.966634, 0.998008, 0.200000, 0.966673, ), spec.: 20, adj.fit.: 0.003588, age: 0, parents (45809, 46168), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 2 (fg nf tau 15.000000)(fg nf rest. lvl. 0.500000)]  (mutated)}]]
Current generation: 48 Number of solutions: 1000 Number of species: 106 Number of active species: 14 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.618484 Best fitness: 0.746352 Innovation number: 43 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 46531 [ fit.: 0.746352, part.: (0.999993, 0.966597, 0.997994, 0.200000, 0.966670, ), spec.: 0, adj.fit.: 0.001342, age: 1, parents (45809, 46168), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 49 Number of solutions: 1000 Number of species: 108 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.628955 Best fitness: 0.746203 Innovation number: 43 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 46531 [ fit.: 0.746203, part.: (0.999935, 0.966645, 0.997000, 0.200000, 0.966670, ), spec.: 92, adj.fit.: 0.009567, age: 2, parents (45809, 46168), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 50 Number of solutions: 1000 Number of species: 108 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.662149 Best fitness: 0.746335 Innovation number: 43 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 49615 [ fit.: 0.746335, part.: (0.999878, 0.966638, 0.997939, 0.200000, 0.966676, ), spec.: 95, adj.fit.: 0.002694, age: 0, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{ (mutated)}]]
Current generation: 51 Number of solutions: 1000 Number of species: 110 Number of active species: 6 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.622990 Best fitness: 0.746325 Innovation number: 43 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 49615 [ fit.: 0.746325, part.: (0.999892, 0.966585, 0.997936, 0.200000, 0.966667, ), spec.: 92, adj.fit.: 0.001422, age: 1, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 52 Number of solutions: 1000 Number of species: 112 Number of active species: 8 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.627538 Best fitness: 0.746338 Innovation number: 43 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 49615 [ fit.: 0.746338, part.: (0.999894, 0.966604, 0.997991, 0.200000, 0.966673, ), spec.: 92, adj.fit.: 0.001282, age: 2, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 53 Number of solutions: 1000 Number of species: 113 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.636762 Best fitness: 0.746264 Innovation number: 45 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 49615 [ fit.: 0.746264, part.: (0.999925, 0.966620, 0.997447, 0.200000, 0.966669, ), spec.: 92, adj.fit.: 0.001211, age: 3, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 54 Number of solutions: 1000 Number of species: 115 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.617865 Best fitness: 0.746328 Innovation number: 45 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 49615 [ fit.: 0.746328, part.: (0.999904, 0.966637, 0.997869, 0.200000, 0.966672, ), spec.: 92, adj.fit.: 0.001307, age: 4, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 55 Number of solutions: 1000 Number of species: 117 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.598293 Best fitness: 0.746329 Innovation number: 45 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 49615 [ fit.: 0.746329, part.: (0.999968, 0.966626, 0.997831, 0.200000, 0.966668, ), spec.: 95, adj.fit.: 0.012868, age: 5, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 56 Number of solutions: 1000 Number of species: 118 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.634646 Best fitness: 0.746299 Innovation number: 47 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 49615 [ fit.: 0.746299, part.: (0.999880, 0.966569, 0.997789, 0.200000, 0.966673, ), spec.: 92, adj.fit.: 0.001068, age: 6, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 57 Number of solutions: 1000 Number of species: 119 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.529607 Best fitness: 0.746252 Innovation number: 47 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 49615 [ fit.: 0.746252, part.: (0.999835, 0.966643, 0.997438, 0.200000, 0.966665, ), spec.: 107, adj.fit.: 0.005255, age: 7, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 58 Number of solutions: 1000 Number of species: 121 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.567629 Best fitness: 0.746326 Innovation number: 49 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 49615 [ fit.: 0.746326, part.: (0.999909, 0.966641, 0.997844, 0.200000, 0.966673, ), spec.: 92, adj.fit.: 0.001232, age: 8, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 59 Number of solutions: 1000 Number of species: 122 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.606256 Best fitness: 0.746342 Innovation number: 49 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 49615 [ fit.: 0.746342, part.: (0.999933, 0.966631, 0.997938, 0.200000, 0.966675, ), spec.: 92, adj.fit.: 0.001031, age: 9, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 60 Number of solutions: 1000 Number of species: 122 Number of active species: 7 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.664672 Best fitness: 0.746356 Innovation number: 51 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 49615 [ fit.: 0.746356, part.: (0.999914, 0.966636, 0.998052, 0.200000, 0.966672, ), spec.: 92, adj.fit.: 0.001018, age: 10, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 61 Number of solutions: 1000 Number of species: 124 Number of active species: 6 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.624385 Best fitness: 0.746294 Innovation number: 53 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 49615 [ fit.: 0.746294, part.: (0.999891, 0.966569, 0.997753, 0.200000, 0.966666, ), spec.: 92, adj.fit.: 0.001159, age: 11, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 62 Number of solutions: 1000 Number of species: 127 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.608878 Best fitness: 0.746337 Innovation number: 55 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 49615 [ fit.: 0.746337, part.: (0.999888, 0.966642, 0.997943, 0.200000, 0.966667, ), spec.: 107, adj.fit.: 0.006219, age: 12, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 63 Number of solutions: 1000 Number of species: 130 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.595143 Best fitness: 0.746331 Innovation number: 55 Average genome size: 3.213000 Average connection genes: 1.142000 Average field genes: 2.071000 Best solution: [solution 49615 [ fit.: 0.746331, part.: (0.999911, 0.966623, 0.997905, 0.200000, 0.966671, ), spec.: 92, adj.fit.: 0.001335, age: 13, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 64 Number of solutions: 1000 Number of species: 134 Number of active species: 14 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.541967 Best fitness: 0.746322 Innovation number: 57 Average genome size: 3.651000 Average connection genes: 1.434000 Average field genes: 2.217000 Best solution: [solution 49615 [ fit.: 0.746322, part.: (0.999883, 0.966636, 0.997845, 0.200000, 0.966676, ), spec.: 92, adj.fit.: 0.001430, age: 14, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 65 Number of solutions: 1000 Number of species: 137 Number of active species: 17 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.547253 Best fitness: 0.746325 Innovation number: 57 Average genome size: 3.720000 Average connection genes: 1.480000 Average field genes: 2.240000 Best solution: [solution 49615 [ fit.: 0.746325, part.: (0.999823, 0.966644, 0.997925, 0.200000, 0.966672, ), spec.: 92, adj.fit.: 0.001700, age: 15, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 66 Number of solutions: 1000 Number of species: 144 Number of active species: 24 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.539858 Best fitness: 0.746269 Innovation number: 59 Average genome size: 3.924000 Average connection genes: 1.616000 Average field genes: 2.308000 Best solution: [solution 49615 [ fit.: 0.746269, part.: (0.999867, 0.966609, 0.997555, 0.200000, 0.966669, ), spec.: 92, adj.fit.: 0.002182, age: 16, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 67 Number of solutions: 1000 Number of species: 156 Number of active species: 34 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.456358 Best fitness: 0.746305 Innovation number: 61 Average genome size: 4.563000 Average connection genes: 2.042000 Average field genes: 2.521000 Best solution: [solution 49615 [ fit.: 0.746305, part.: (0.999882, 0.966620, 0.997765, 0.200000, 0.966672, ), spec.: 92, adj.fit.: 0.002215, age: 17, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 68 Number of solutions: 1000 Number of species: 170 Number of active species: 48 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.431522 Best fitness: 0.746380 Innovation number: 64 Average genome size: 4.868000 Average connection genes: 2.246000 Average field genes: 2.622000 Best solution: [solution 49615 [ fit.: 0.746380, part.: (0.999946, 0.966643, 0.998170, 0.200000, 0.966669, ), spec.: 92, adj.fit.: 0.002860, age: 18, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 69 Number of solutions: 1000 Number of species: 192 Number of active species: 70 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.450601 Best fitness: 0.746239 Innovation number: 66 Average genome size: 5.572000 Average connection genes: 2.729000 Average field genes: 2.843000 Best solution: [solution 49615 [ fit.: 0.746239, part.: (0.999943, 0.966607, 0.997283, 0.200000, 0.966669, ), spec.: 92, adj.fit.: 0.003162, age: 19, parents (46531, 48677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 70 Number of solutions: 1000 Number of species: 192 Number of active species: 62 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.657585 Best fitness: 0.746383 Innovation number: 66 Average genome size: 3.006000 Average connection genes: 1.004000 Average field genes: 2.002000 Best solution: [solution 69861 [ fit.: 0.746383, part.: (0.999823, 0.966595, 0.998382, 0.200000, 0.966667, ), spec.: 92, adj.fit.: 0.001403, age: 0, parents (49615, 68503), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[cg 1-2 (cg gk width -0.500000)(cg gk amp.-0.500000)]  (mutated)}]]
Current generation: 71 Number of solutions: 1000 Number of species: 195 Number of active species: 7 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.626968 Best fitness: 0.746338 Innovation number: 68 Average genome size: 3.015000 Average connection genes: 1.010000 Average field genes: 2.005000 Best solution: [solution 69861 [ fit.: 0.746338, part.: (0.999892, 0.966583, 0.998027, 0.200000, 0.966668, ), spec.: 92, adj.fit.: 0.001238, age: 1, parents (49615, 68503), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 72 Number of solutions: 1000 Number of species: 199 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.588339 Best fitness: 0.746354 Innovation number: 70 Average genome size: 3.279000 Average connection genes: 1.186000 Average field genes: 2.093000 Best solution: [solution 69861 [ fit.: 0.746354, part.: (0.999976, 0.966628, 0.997986, 0.200000, 0.966672, ), spec.: 92, adj.fit.: 0.001240, age: 2, parents (49615, 68503), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 73 Number of solutions: 1000 Number of species: 202 Number of active species: 14 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.574305 Best fitness: 0.746260 Innovation number: 70 Average genome size: 3.561000 Average connection genes: 1.374000 Average field genes: 2.187000 Best solution: [solution 69861 [ fit.: 0.746260, part.: (0.999851, 0.966625, 0.997486, 0.200000, 0.966674, ), spec.: 92, adj.fit.: 0.001651, age: 3, parents (49615, 68503), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 74 Number of solutions: 1000 Number of species: 207 Number of active species: 19 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.576622 Best fitness: 0.746285 Innovation number: 70 Average genome size: 3.579000 Average connection genes: 1.386000 Average field genes: 2.193000 Best solution: [solution 69861 [ fit.: 0.746285, part.: (0.999988, 0.966616, 0.997533, 0.200000, 0.966670, ), spec.: 92, adj.fit.: 0.001312, age: 4, parents (49615, 68503), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 75 Number of solutions: 1000 Number of species: 214 Number of active species: 22 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.491849 Best fitness: 0.746322 Innovation number: 70 Average genome size: 4.314000 Average connection genes: 1.876000 Average field genes: 2.438000 Best solution: [solution 69861 [ fit.: 0.746322, part.: (0.999958, 0.966612, 0.997816, 0.200000, 0.966669, ), spec.: 92, adj.fit.: 0.002521, age: 5, parents (49615, 68503), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 76 Number of solutions: 1000 Number of species: 228 Number of active species: 36 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.480729 Best fitness: 0.746378 Innovation number: 70 Average genome size: 4.506000 Average connection genes: 2.004000 Average field genes: 2.502000 Best solution: [solution 69861 [ fit.: 0.746378, part.: (0.999951, 0.966652, 0.998137, 0.200000, 0.966674, ), spec.: 92, adj.fit.: 0.002355, age: 6, parents (49615, 68503), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 77 Number of solutions: 1000 Number of species: 238 Number of active species: 46 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.464371 Best fitness: 0.746202 Innovation number: 70 Average genome size: 4.674000 Average connection genes: 2.116000 Average field genes: 2.558000 Best solution: [solution 76777 [ fit.: 0.746202, part.: (0.999996, 0.933289, 0.997428, 0.200000, 0.999653, ), spec.: 92, adj.fit.: 0.002859, age: 0, parents (75657, 75657), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (fg gk width -0.500000)(fg gk amp.-0.500000)] [fg 2 (fg mhk amp. inh. 0.500000)]  (mutated)}]]
